Name,Faction,Group,Initiative,Movement,HighBlock,MidBlock,LowBlock,HighDType,MidDType,LowDType,HighAttack,HighRange,MidAttack,MidRange,LowAttack,LowRange,Text,Persistence,CardImg,BackgroundLayer,ForegroundImg,Flavor,PrintID,Artist
Rapid fire,,Stun Bow,3,-3,0,1,0,pierce,pierce,pierce,1,6,1,10,0,0,On Hit: target gets 2 \fullstunned \\ \guardbreak,0,weapon_pictures/Stun_Bow_Rapid_fire_t.png,backgrounds/Stun_Bow_bg.png,,,1,Stephen Lilico
Arc shot,,Stun Bow,3,-2,0,1,0,pierce,pierce,pierce,2,10,0,0,0,0,On Hit: target gets 2 \fullstunned,0,weapon_pictures/Stun_Bow_Arc_shot_t.png,backgrounds/Stun_Bow_bg.png,,,1,Stephen Lilico
Straight shot,,Stun Bow,5,-1,0,1,0,pierce,pierce,pierce,0,0,1,10,0,0,On Hit: target gets 2 \fullstunned,0,weapon_pictures/Stun_Bow_Straight_shot_t.png,backgrounds/Stun_Bow_bg.png,,,1,Stephen Lilico
Low blow,,Stun Bow,5,-1,0,1,0,pierce,pierce,pierce,0,0,0,0,1,10,On Hit: target gets 2 \fullstunned,0,weapon_pictures/Stun_Bow_Low_blow_t.png,backgrounds/Stun_Bow_bg.png,,,1,Stephen Lilico
Fullbore,,Cannon,2,-3,0,1,0,projectile,projectile,projectile,0,0,3,12,0,0,\fullreload,\infty,weapon_pictures/Cannon_Fullbore_t.png,backgrounds/Cannon_bg.png,,,1,Stephen Lilico
Airburst,,Cannon,2,-2,0,1,0,projectile,projectile,projectile,2,12,2,12,1,8,\fullguardbreak \\ \fullreload,\infty,weapon_pictures/Cannon_Airburst_t.png,backgrounds/Cannon_bg.png,,,1,Stephen Lilico
Cannon,,Cannon,2,-3,0,1,0,projectile,projectile,projectile,1,8,2,12,2,12,\fullguardbreak \\ \fullreload,\infty,weapon_pictures/Cannon_Cannon_t.png,backgrounds/Cannon_bg.png,,,1,Stephen Lilico
Pummel,,Cannon,2,-3,0,1,0,projectile,projectile,projectile,0,0,0,0,3,12,\fullreload,\infty,weapon_pictures/Cannon_Pummel_t.png,backgrounds/Cannon_bg.png,,,1,Stephen Lilico
Crush,,Halberd,4,-2,0,1,0,impact,impact,impact,0,0,0,0,3,0,,0,weapon_pictures/Halberd_Crush_t.png,backgrounds/Halberd_bg.png,,,1,Stephen Lilico
Eviscerate,,Halberd,4,-2,1,0,0,cut,cut,cut,0,0,3,0,0,0,,0,weapon_pictures/Halberd_Eviscerate_t.png,backgrounds/Halberd_bg.png,,,1,Stephen Lilico
Thrust,,Halberd,7,1,0,1,0,pierce,pierce,pierce,1,0,0,0,0,0,\fullcommitted,0,weapon_pictures/Halberd_Thrust_t.png,backgrounds/Halberd_bg.png,,,1,Stephen Lilico
Sweep,,Halberd,5,0,1,0,0,cut,cut,cut,0,0,0,0,1,0,On Hit: target gets 2 \fullslowed,0,weapon_pictures/Halberd_Sweep_t.png,backgrounds/Halberd_bg.png,,,1,Stephen Lilico
Disembowel,,Chainsaw,3,-4,0,1,0,cut,cut,cut,0,0,4,0,0,0,,0,weapon_pictures/Chainsaw_Disembowel_t.png,backgrounds/Chainsaw_bg.png,,,1,Stephen Lilico
Rip,,Chainsaw,3,-4,0,1,0,cut,cut,cut,4,0,0,0,0,0,,0,weapon_pictures/Chainsaw_Rip_t.png,backgrounds/Chainsaw_bg.png,,,1,Stephen Lilico
Grind,,Chainsaw,5,-2,0,1,0,cut,cut,cut,1,0,1,0,0,0,,0,weapon_pictures/Chainsaw_Grind_t.png,backgrounds/Chainsaw_bg.png,,,1,Stephen Lilico
Tear,,Chainsaw,3,-3,0,1,0,cut,cut,cut,3,0,3,0,0,0,,0,weapon_pictures/Chainsaw_Tear_t.png,backgrounds/Chainsaw_bg.png,,,1,Stephen Lilico
Whip,,Chain,6,0,0,1,0,impact,impact,impact,0,0,1,3,0,0,On Hit: target gets 2 \fullslowed,0,weapon_pictures/Chain_Whip_t.png,backgrounds/Chain_bg.png,,,1,Stephen Lilico
Tangle,,Chain,6,-1,0,1,0,impact,impact,impact,0,0,0,0,1,3,On Hit: target gets 2 \fullslowed,0,weapon_pictures/Chain_Tangle_t.png,backgrounds/Chain_bg.png,,,1,Stephen Lilico
Throttle,,Chain,4,-1,1,0,0,impact,impact,impact,2,0,0,0,0,0,On Hit: target gets 2 \fulldazed,0,weapon_pictures/Chain_Throttle_t.png,backgrounds/Chain_bg.png,,,1,Stephen Lilico
Catch,,Chain,6,0,2,1,0,,,,0,0,0,0,0,0,On Block: attacker gets \fulldazed,0,weapon_pictures/Chain_Catch_t.png,backgrounds/Chain_bg.png,,,1,Stephen Lilico
Stab,,Knife,5,0,1,0,0,cut,cut,cut,1,0,0,0,0,0,\fullclosequarters,0,weapon_pictures/Knife_Stab_t.png,backgrounds/Knife_bg.png,,,1,Stephen Lilico
Cut,,Knife,5,0,0,1,0,cut,cut,cut,0,0,1,0,0,0,\fullclosequarters,0,weapon_pictures/Knife_Cut_t.png,backgrounds/Knife_bg.png,,,1,Stephen Lilico
Slit,,Knife,5,0,0,0,1,cut,cut,cut,0,0,0,0,1,0,\fullclosequarters,0,weapon_pictures/Knife_Slit_t.png,backgrounds/Knife_bg.png,,,1,Stephen Lilico
Lunge,,Knife,5,1,1,0,0,cut,cut,cut,0,0,1,0,0,0,\fullclosequarters\\\fullcommitted,0,weapon_pictures/Knife_Lunge_t.png,backgrounds/Knife_bg.png,,,1,Stephen Lilico
Missile Rack 1,Guild,Missile Rack,2,-3,0,1,0,projectile,projectile,projectile,2,8,2,8,0,0,\fullguardbreak \\ Can only be used by J7R-Salryman,0,weapon_pictures/Missile_Rack_Missile_Rack_1_t.png,backgrounds/Missile_Rack_bg.png,,,1,Stephen Lilico
Missile Rack 2,Guild,Missile Rack,2,-3,0,1,0,projectile,projectile,projectile,0,0,2,8,2,8,\fullguardbreak \\ Can only be used by J7R-Salryman,0,weapon_pictures/Missile_Rack_Missile_Rack_2_t.png,backgrounds/Missile_Rack_bg.png,,,1,Stephen Lilico
Missile Rack 3,Guild,Missile Rack,2,-3,0,1,0,projectile,projectile,projectile,2,8,0,0,2,8,\fullguardbreak \\ Can only be used by J7R-Salryman,0,weapon_pictures/Missile_Rack_Missile_Rack_3_t.png,backgrounds/Missile_Rack_bg.png,,,1,Stephen Lilico
Cleave,,Greatsword,4,-2,1,0,0,cut,cut,cut,2,0,2,0,0,0,,0,weapon_pictures/Greatsword_Cleave_t.png,backgrounds/Greatsword_bg.png,,,1,Stephen Lilico
Parry,,Greatsword,3,-1,0,1,2,cut,cut,cut,0,0,0,0,0,0,On Block:  deals mid \smallcut,0,weapon_pictures/Greatsword_Parry_t.png,backgrounds/Greatsword_bg.png,,,1,Stephen Lilico
Grand Sweep,,Greatsword,4,-2,0,0,1,cut,cut,cut,0,0,2,0,0,0,Hits all adjacent enemies,0,weapon_pictures/Greatsword_Grand_Sweep_t.png,backgrounds/Greatsword_bg.png,,,1,Stephen Lilico
Rising Cut,,Greatsword,4,-1,1,1,0,cut,cut,cut,0,0,0,0,2,0,,0,weapon_pictures/Greatsword_Rising_Cut_t.png,backgrounds/Greatsword_bg.png,,,1,Stephen Lilico
Slam,,Kinetic Hammer,4,-3,0,0,1,impact,impact,impact,0,0,0,0,2,0,Also hits any enemies adjacent to the target,0,weapon_pictures/Kinetic_Hammer_Slam_t.png,backgrounds/Kinetic_Hammer_bg.png,,,1,Stephen Lilico
Strike,,Kinetic Hammer,4,-2,0,0,1,impact,impact,impact,3,0,0,0,0,0,On Hit: target gets 2 \fulldazed,0,weapon_pictures/Kinetic_Hammer_Strike_t.png,backgrounds/Kinetic_Hammer_bg.png,,,1,Stephen Lilico
Heavy Swing,,Kinetic Hammer,4,-3,0,0,1,impact,impact,impact,2,0,2,0,0,0,On Hit: target gets 2 \fulldazed,0,weapon_pictures/Kinetic_Hammer_Heavy_Swing_t.png,backgrounds/Kinetic_Hammer_bg.png,,,1,Stephen Lilico
Batter,,Kinetic Hammer,6,-2,0,0,1,impact,impact,impact,1,0,1,0,0,0,\fullknockback{2},0,weapon_pictures/Kinetic_Hammer_Batter_t.png,backgrounds/Kinetic_Hammer_bg.png,,,1,Stephen Lilico
Charged Shot,,Plasma Rifle,3,-3,0,1,0,energy,energy,energy,2,9,1,9,0,0,\fullguardbreak \\ \fullreload,\infty,weapon_pictures/Plasma_Rifle_Charged_Shot_t.png,backgrounds/Plasma_Rifle_bg.png,,,1,Stephen Lilico
Single Shot,,Plasma Rifle,5,-2,0,1,0,energy,energy,energy,0,0,2,9,0,0,,0,weapon_pictures/Plasma_Rifle_Single_Shot_t.png,backgrounds/Plasma_Rifle_bg.png,,,1,Stephen Lilico
Plasma Stream,,Plasma Rifle,4,-2,0,1,0,energy,energy,energy,0,0,1,8,1,8,\fullguardbreak,0,weapon_pictures/Plasma_Rifle_Plasma_Stream_t.png,backgrounds/Plasma_Rifle_bg.png,,,1,Stephen Lilico
Vent,,Plasma Rifle,6,1,0,1,0,energy,energy,energy,1,0,1,0,0,0,\fullfeint,0,weapon_pictures/Plasma_Rifle_Vent_t.png,backgrounds/Plasma_Rifle_bg.png,,,1,Stephen Lilico
Hypervelocity Shot,,Railgun,2,-3,0,1,0,projectile,projectile,projectile,0,0,2,12,2,12,\fullknockback{2},0,weapon_pictures/Railgun_Hypervelocity_Shot_t.png,backgrounds/Railgun_bg.png,,,1,Stephen Lilico
Piercing Round,,Railgun,2,-3,0,1,0,projectile,projectile,projectile,0,0,2,12,0,0,\fullknockback{2} \\ \fullclosequarters,qu,weapon_pictures/Railgun_Piercing_Round_t.png,backgrounds/Railgun_bg.png,,,1,Stephen Lilico
Snipe,,Railgun,1,-3,0,1,0,projectile,projectile,projectile,2,12,2,12,0,0,\fullknockback{2},0,weapon_pictures/Railgun_Snipe_t.png,backgrounds/Railgun_bg.png,,,1,Stephen Lilico
Kinetic Barrage,,Railgun,1,-3,0,1,0,projectile,projectile,projectile,2,8,2,8,2,8,\knockback{2} \\ \guardbreak \\ \fullreload ,0,weapon_pictures/Railgun_Kinetic_Barrage_t.png,backgrounds/Railgun_bg.png,,,1,Stephen Lilico
Headshot,,Sniper Rifle,3,-3,0,1,0,projectile,projectile,projectile,2,16,0,0,0,0,Deals + \smallprojectilex{2} if the target didnt move,0,weapon_pictures/Sniper_Rifle_Headshot_t.png,backgrounds/Sniper_Rifle_bg.png,,,1,Stephen Lilico
Calibrated Hit,,Sniper Rifle,3,-3,0,1,0,projectile,projectile,projectile,0,0,0,0,2,16,Deals + \smallprojectilex{2} if the target didnt move,0,weapon_pictures/Sniper_Rifle_Calibrated_Hit_t.png,backgrounds/Sniper_Rifle_bg.png,,,1,Stephen Lilico
Heartpiercer,,Sniper Rifle,3,-3,0,1,0,projectile,projectile,projectile,0,0,2,16,0,0,Deals + \smallprojectilex{2} if the target didnt move,0,weapon_pictures/Sniper_Rifle_Heartpiercer_t.png,backgrounds/Sniper_Rifle_bg.png,,,1,Stephen Lilico
Patience's Reward,,Sniper Rifle,2,-3,0,1,0,projectile,projectile,projectile,0,0,2,16,0,0,Deals + \smallprojectilex{2} if the target didnt move,0,weapon_pictures/Sniper_Rifle_Patience's_Reward_t.png,backgrounds/Sniper_Rifle_bg.png,,,1,Stephen Lilico
Chop,,Axe,4,0,1,0,0,cut,cut,cut,2,0,0,0,0,0,,0,weapon_pictures/Axe_Chop_t.png,backgrounds/Axe_bg.png,,,1,Stephen Lilico
Hook,,Axe,4,0,1,0,0,cut,cut,cut,0,0,1,0,0,0,On Hit: target gets 2 \fulldazed,0,weapon_pictures/Axe_Hook_t.png,backgrounds/Axe_bg.png,,,1,Stephen Lilico
Split,,Axe,3,-1,0,1,0,cut,cut,cut,2,0,2,0,0,0,,0,weapon_pictures/Axe_Split_t.png,backgrounds/Axe_bg.png,,,1,Stephen Lilico
Throw,,Axe,5,0,0,1,0,cut,cut,cut,0,0,2,8,0,0,\fullcommitted,0,weapon_pictures/Axe_Throw_t.png,backgrounds/Axe_bg.png,,,1,Stephen Lilico
Cleave,,Great Axe,3,-2,0,0,1,cut,cut,cut,0,0,3,0,2,0,,0,weapon_pictures/Great_Axe_Cleave_t.png,backgrounds/Great_Axe_bg.png,,,1,Stephen Lilico
Split,,Great Axe,2,-2,0,1,0,cut,cut,cut,0,0,2,0,2,0,\fullguardbreak,0,weapon_pictures/Great_Axe_Split_t.png,backgrounds/Great_Axe_bg.png,,,1,Stephen Lilico
Whirl,,Great Axe,4,-2,0,1,0,cut,cut,cut,0,0,2,0,1,0,Hits all adjacent enemies,0,weapon_pictures/Great_Axe_Whirl_t.png,backgrounds/Great_Axe_bg.png,,,1,Stephen Lilico
Eviscerate,,Great Axe,3,-3,0,0,1,cut,cut,cut,0,0,2,0,3,0,,0,weapon_pictures/Great_Axe_Eviscerate_t.png,backgrounds/Great_Axe_bg.png,,,1,Stephen Lilico
