Name,CardImg,Rules,Defend Points,Attack Points,Tokens,tile_0_0,tile_0_1,tile_0_2,tile_1_0,tile_1_1,tile_1_2,tile_2_0,tile_2_1,tile_2_2,tile_3_0,tile_3_1,tile_3_2,PrintID
The Tower,terrain_27.png,"\emph{The Tower}:\\The tower has 4 hitpoints, and takes -1 damage from any attack. If it is destroyed attackers score, else defenders score.",2,1,1,,,,e1,,e1,e1,,e3 obs obj tkn,,,,1
Twin Peaks,terrain_28.png,,0,0,0,,e2,,e3,e3,,e2,e2,,e3,e3,,1
The Egg,terrain_29.png,\emph{The Egg}:\\The first frame to end two consecutive turns standing on the Egg scores it.,1,2,0,,,,e1,,e3,e2,e1 obj,,,,,1
Railway,terrain_30.png,\emph{Rail lines}:\\Any frame that ends a turn on the rails takes \smallenergy low,0,0,0,,tkn,tkn,,tkn,tkn,,tkn,tkn,e1,tkn,tkn,1
Steps,terrain_31.png,,0,0,0,e1,e1,e1,e1,,e1,e1,,e1,e1,,e1,1
Riverside,terrain_32.png,"\emph{Gangs}:\\After deployment your opponent creates 3 gang tokens outside their back row of cards. These are init 1 1hp tokens with 1mv. Defender scores if all gangs are defeated, else attackers score",2,1,3,e1,,im,,,im,,,im,obs,,im,1
Solar Farm,terrain_33.png,"\emph{Solar Farm}:\\For each frame that ends a turn on the farm, that team gets 1 charge. The team with the most charge scores.",1,1,0,obs,e2,e2,e1 obj,e1 obj,e1 obj,e2,e1 obj,e1 obj,,e2,e2,1
Lake Crosses,terrain_34.png,"\emph{The Lake Ritual}:\\The first team to end a turn with a frame on both platforms recieves the relic token, held by one of those frames. Team at the end of the game holding that token scores.",2,2,1,,im,im,,obj,im,,im,im,,obj,im,1
Car Park,terrain_35.png,"\emph{Protect the Refugees}:\\At the start of the game create 3 refugee tokens in your opponents half of the map. These are init 1 1hp and 1 mv. Attackers score if they kill all the refugees, else defenders score.",2,1,3,,,,,,,,,,,,,1
Dome Campus,terrain_36.png,"\emph{Stop the bomb}:\\After deployment the attacker chooses one frame to be the bomb carrier. If this frame ends a turn on the site, attackers score, else defenders score.",2,2,0,,obj,e1,,,e1,e2,,,e2,,,1
Roof,terrain_37.png,,0,0,0,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,1
Park 2,terrain_38.png,,0,0,0,,,,,,,,,,,,,1
Double row,terrain_39.png,,0,0,0,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,1
