Name,Faction,Group,Initiative,Movement,HighBlock,MidBlock,LowBlock,HighDType,MidDType,LowDType,HighAttack,HighRange,MidAttack,MidRange,LowAttack,LowRange,Text,Persistence,CardImg,BackgroundLayer,ForegroundImg,Flavor,PrintID,Artist
Catch,,Chain,,,,,,,,,0,0,0,0,0,0,On Block: attacker gets \fulldazed,0,weapon_pictures/Chain_Catch_t.png,backgrounds/Chain_bg.png,,,1,Stephen Lilico
Stab,,Knife,,,,,,cut,cut,cut,1,0,0,0,0,0,\fullclosequarters,0,weapon_pictures/Knife_Stab_t.png,backgrounds/Knife_bg.png,,,1,Stephen Lilico
Cut,,Knife,,,,,,cut,cut,cut,0,0,1,0,0,0,\fullclosequarters,0,weapon_pictures/Knife_Cut_t.png,backgrounds/Knife_bg.png,,,1,Stephen Lilico
Slit,,Knife,,,,,,cut,cut,cut,0,0,0,0,1,0,\fullclosequarters,0,weapon_pictures/Knife_Slit_t.png,backgrounds/Knife_bg.png,,,1,Stephen Lilico
Lunge,,Knife,,,,,,cut,cut,cut,0,0,1,0,0,0,\fullclosequarters\\\fullcommitted,0,weapon_pictures/Knife_Lunge_t.png,backgrounds/Knife_bg.png,,,1,Stephen Lilico
Missile Rack 1,Guild,Missile Rack,,,,,,projectile,projectile,projectile,2,12,2,12,0,0,\fullguardbreak \\ Can only be used by J7R-Salryman,0,weapon_pictures/Missile_Rack_Missile_Rack_1_t.png,backgrounds/Missile_Rack_bg.png,,,1,Stephen Lilico
Missile Rack 2,Guild,Missile Rack,,,,,,projectile,projectile,projectile,0,0,2,12,2,12,\fullguardbreak \\ Can only be used by J7R-Salryman,0,weapon_pictures/Missile_Rack_Missile_Rack_2_t.png,backgrounds/Missile_Rack_bg.png,,,1,Stephen Lilico
Missile Rack 3,Guild,Missile Rack,,,,,,projectile,projectile,projectile,2,12,0,0,2,12,\guardbreak \\ Can only be used by J7R-Salryman,0,weapon_pictures/Missile_Rack_Missile_Rack_3_t.png,backgrounds/Missile_Rack_bg.png,,,1,Stephen Lilico
Cleave,,Greatsword,,,,,,cut,cut,cut,2,0,2,0,0,0,,0,weapon_pictures/Greatsword_Cleave_t.png,backgrounds/Greatsword_bg.png,,,1,Stephen Lilico
Parry,,Greatsword,,,,,,cut,cut,cut,0,0,0,0,0,0,If blocks:  deals mid \smallcut,0,weapon_pictures/Greatsword_Parry_t.png,backgrounds/Greatsword_bg.png,,,1,Stephen Lilico
Grand Sweep,,Greatsword,,,,,,cut,cut,cut,0,0,2,0,0,0,Hits all adjacent enemies,0,weapon_pictures/Greatsword_Grand_Sweep_t.png,backgrounds/Greatsword_bg.png,,,1,Stephen Lilico
Rising Cut,,Greatsword,,,,,,cut,cut,cut,0,0,0,0,2,0,,0,weapon_pictures/Greatsword_Rising_Cut_t.png,backgrounds/Greatsword_bg.png,,,1,Stephen Lilico
Slam,,Kinetic Hammer,,,,,,impact,impact,impact,0,0,0,0,2,0,Also hits any enemies adjacent to the target,0,weapon_pictures/Kinetic_Hammer_Slam_t.png,backgrounds/Kinetic_Hammer_bg.png,,,1,Stephen Lilico
Strike,,Kinetic Hammer,,,,,,impact,impact,impact,3,0,0,0,0,0,On Hit: target gets 2 \fullstunned,0,weapon_pictures/Kinetic_Hammer_Strike_t.png,backgrounds/Kinetic_Hammer_bg.png,,,1,Stephen Lilico
Heavy Swing,,Kinetic Hammer,,,,,,impact,impact,impact,2,0,2,0,0,0,On Hit: target gets 2 \fullstunned,0,weapon_pictures/Kinetic_Hammer_Heavy_Swing_t.png,backgrounds/Kinetic_Hammer_bg.png,,,1,Stephen Lilico
Batter,,Kinetic Hammer,,,,,,impact,impact,impact,1,0,1,0,0,0,On Hit: target gets 2 \fullstunned,0,weapon_pictures/Kinetic_Hammer_Batter_t.png,backgrounds/Kinetic_Hammer_bg.png,,,1,Stephen Lilico
Charged Shot,,Plasma Rifle,,,,,,energy,energy,energy,2,12,1,9,0,0,\fullguardbreak,0,weapon_pictures/Plasma_Rifle_Charged_Shot_t.png,backgrounds/Plasma_Rifle_bg.png,,,1,Stephen Lilico
Single Shot,,Plasma Rifle,,,,,,energy,energy,energy,0,0,2,12,0,0,,0,weapon_pictures/Plasma_Rifle_Single_Shot_t.png,backgrounds/Plasma_Rifle_bg.png,,,1,Stephen Lilico
Plasma Stream,,Plasma Rifle,,,,,,energy,energy,energy,0,0,1,8,1,8,\fullguardbreak,0,weapon_pictures/Plasma_Rifle_Plasma_Stream_t.png,backgrounds/Plasma_Rifle_bg.png,,,1,Stephen Lilico
Vent,,Plasma Rifle,,,,,,energy,energy,energy,1,0,1,0,0,0,\fullfeint,0,weapon_pictures/Plasma_Rifle_Vent_t.png,backgrounds/Plasma_Rifle_bg.png,,,1,Stephen Lilico
Hypervelocity Shot,,Railgun,,,,,,projectile,projectile,projectile,0,0,2,12,1,12,\fullknockback{2},0,weapon_pictures/Railgun_Hypervelocity_Shot_t.png,backgrounds/Railgun_bg.png,,,1,Stephen Lilico
Piercing Round,,Railgun,,,,,,projectile,projectile,projectile,0,0,2,12,0,0,\fullknockback{2},0,weapon_pictures/Railgun_Piercing_Round_t.png,backgrounds/Railgun_bg.png,,,1,Stephen Lilico
Snipe,,Railgun,,,,,,projectile,projectile,projectile,2,12,0,0,0,0,\fullknockback{2},0,weapon_pictures/Railgun_Snipe_t.png,backgrounds/Railgun_bg.png,,,1,Stephen Lilico
Kinetic Barrage,,Railgun,,,,,,projectile,projectile,projectile,2,8,2,8,2,8,\fullknockback{2},0,weapon_pictures/Railgun_Kinetic_Barrage_t.png,backgrounds/Railgun_bg.png,,,1,Stephen Lilico
Headshot,,Sniper Rifle,,,,,,projectile,projectile,projectile,2,16,0,0,0,0,Deals + \smallprojectilex{2} if the target didnt move,0,weapon_pictures/Sniper_Rifle_Headshot_t.png,backgrounds/Sniper_Rifle_bg.png,,,1,Stephen Lilico
Calibrated Hit,,Sniper Rifle,,,,,,projectile,projectile,projectile,0,0,0,0,2,16,Deals + \smallprojectilex{2} if the target didnt move,0,weapon_pictures/Sniper_Rifle_Calibrated_Hit_t.png,backgrounds/Sniper_Rifle_bg.png,,,1,Stephen Lilico
Heartpiercer,,Sniper Rifle,,,,,,projectile,projectile,projectile,0,0,2,16,0,0,Deals + \smallprojectilex{2} if the target didnt move,0,weapon_pictures/Sniper_Rifle_Heartpiercer_t.png,backgrounds/Sniper_Rifle_bg.png,,,1,Stephen Lilico
Patience's Reward,,Sniper Rifle,,,,,,projectile,projectile,projectile,0,0,2,16,0,0,Deals + \smallprojectilex{2} if the target didnt move,0,weapon_pictures/Sniper_Rifle_Patience's_Reward_t.png,backgrounds/Sniper_Rifle_bg.png,,,1,Stephen Lilico
Chop,,Axe,,,,,,cut,cut,cut,2,0,0,0,0,0,,0,weapon_pictures/Axe_Chop_t.png,backgrounds/Axe_bg.png,,,1,Stephen Lilico
Hook,,Axe,,,,,,cut,cut,cut,0,0,1,0,0,0,On Hit: target gets 2 \fulldazed,0,weapon_pictures/Axe_Hook_t.png,backgrounds/Axe_bg.png,,,1,Stephen Lilico
Split,,Axe,,,,,,cut,cut,cut,2,0,0,0,0,0,,0,weapon_pictures/Axe_Split_t.png,backgrounds/Axe_bg.png,,,1,Stephen Lilico
Throw,,Axe,,,,,,cut,cut,cut,0,0,2,8,0,0,\fullcommitted,0,weapon_pictures/Axe_Throw_t.png,backgrounds/Axe_bg.png,,,1,Stephen Lilico
Cleave,,Great Axe,,,,,,cut,cut,cut,2,0,3,0,0,0,,0,weapon_pictures/Great_Axe_Cleave_t.png,backgrounds/Great_Axe_bg.png,,,1,Stephen Lilico
Split,,Great Axe,,,,,,cut,cut,cut,3,0,2,0,0,0,,0,weapon_pictures/Great_Axe_Split_t.png,backgrounds/Great_Axe_bg.png,,,1,Stephen Lilico
Whirl,,Great Axe,,,,,,cut,cut,cut,0,0,2,0,1,0,Hits all adjacent enemies,0,weapon_pictures/Great_Axe_Whirl_t.png,backgrounds/Great_Axe_bg.png,,,1,Stephen Lilico
Eviscerate,,Great Axe,,,,,,cut,cut,cut,0,0,2,0,3,0,,0,weapon_pictures/Great_Axe_Eviscerate_t.png,backgrounds/Great_Axe_bg.png,,,1,Stephen Lilico
